category,source,target,note
关键术语,mestizaje,种族文化融合,
关键术语,caudillo,考迪罗,
关键术语,caudillismo,考迪罗主义,
关键术语,criollo,克里奥尔人,
关键术语,ismo,主义,
人物,Cuauhtémoc,夸乌特莫克,阿兹特克末代皇帝
人物,Hernán Cortés,埃尔南·科尔特斯,西班牙征服者
人物,Porfirio Díaz,波菲里奥·迪亚斯,墨西哥独裁总统1876-1911
人物,Francisco I. Madero,弗朗西斯科·I·马德罗,民主先驱
人物,Emiliano Zapata,埃米利亚诺·萨帕塔,农民领袖
人物,Francisco Villa,弗朗西斯科·比利亚,北方革命领袖
人物,Lázaro Cárdenas,拉萨罗·卡德纳斯,1934-1940总统
人物,PRI,革命制度党,Partido Revolucionario Institucional
地名,Tenochtitlan,特诺奇蒂特兰,阿兹特克首都
地名,Nueva España,新西班牙,西班牙殖民地
